640 480
54 222 36
54 223 38
54 224 33
53 225 33
53 226 30
51 228 22
51 229 21
49 230 24
48 231 27
46 233 30
44 233 24
44 234 27
42 235 29
42 236 25
42 238 21
42 239 24
41 239 28
41 240 28
41 241 27
41 242 31
41 244 41
42 244 34
42 245 42
43 246 73
45 248 97
45 249 107
47 250 123
47 251 123
48 251 123
49 253 120
49 255 127
49 257 122
50 258 121
50 260 120
50 261 118
51 264 96
52 267 24
53 269 19
53 271 17
53 272 17
53 273 19
54 274 21
54 275 23
55 276 25
55 277 28
55 278 30
55 280 27
55 283 28
56 283 27
56 284 26
56 286 26
57 288 27
57 289 25
57 291 23
58 293 24
58 294 23
59 296 23
60 296 22
60 298 20
61 299 20
62 300 19
62 302 21
63 303 20
63 304 18
64 305 18
65 306 17
66 308 18
67 309 18
68 310 18
69 311 18
70 313 20
71 314 19
72 315 19
73 316 21
74 317 24
75 319 26
76 319 26
77 321 26
78 321 27
79 322 28
81 323 27
81 325 26
83 326 28
84 328 31
85 329 33
85 330 28
86 330 36
87 331 35
88 333 31
89 333 37
91 335 44
92 336 50
94 337 65
95 338 69
97 340 76
99 341 77
100 343 80
102 344 75
106 347 43
108 348 40
111 350 34
113 351 32
116 353 30
120 356 31
122 358 30
124 359 32
126 362 31
130 364 37
132 365 30
133 366 27
135 366 37
136 368 27
139 369 26
140 370 25
141 371 28
142 371 29
144 371 29
145 372 31
146 372 29
146 373 30
147 373 28
148 374 33
149 374 31
150 374 28
150 375 32
151 375 28
152 376 32
153 376 30
153 377 32
154 377 30
155 378 30
156 379 29
158 380 32
160 382 33
162 383 33
163 385 43
166 386 40
167 387 40
168 388 55
170 389 62
172 390 66
174 390 62
176 390 55
178 391 61
181 392 63
183 393 64
185 393 65
188 393 59
189 394 65
191 394 65
192 394 61
193 395 62
195 395 55
196 395 51
197 395 48
198 395 47
200 396 50
201 396 47
203 397 51
205 397 43
207 397 34
208 397 32
209 397 32
212 398 29
213 398 29
214 399 31
215 399 27
216 399 23
217 399 25
218 399 27
220 400 28
221 400 27
222 401 31
224 401 28
227 401 23
229 401 24
233 402 21
236 402 25
238 403 21
241 404 21
245 404 20
249 404 22
252 405 20
255 405 20
257 405 23
259 405 22
260 405 20
262 405 19
263 405 20
265 405 21
267 405 20
269 405 18
270 405 18
272 405 18
275 405 18
278 405 20
281 405 24
284 405 25
288 405 32
291 405 29
294 405 35
296 405 33
298 405 31
301 405 33
304 405 32
310 405 30
313 405 29
315 405 28
319 405 27
323 404 27
326 404 24
330 404 23
332 404 22
335 403 22
337 403 21
339 403 22
340 402 28
342 402 26
344 401 29
346 401 28
347 401 29
348 400 38
350 400 47
351 400 50
353 399 61
356 399 56
358 399 54
360 398 58
363 398 47
365 398 44
368 397 49
369 397 48
371 397 45
373 396 42
375 396 41
376 396 44
378 396 47
380 396 52
382 395 56
385 395 60
388 394 72
391 394 77
394 394 72
397 393 73
400 393 50
402 393 44
404 392 46
406 392 43
408 391 50
412 391 34
413 390 42
415 389 53
417 389 50
418 389 49
419 388 63
420 388 56
421 387 62
423 387 49
425 386 56
430 385 91
433 383 99
437 383 80
441 383 39
442 383 31
445 382 37
448 381 41
449 380 53
452 380 45
453 379 49
454 379 45
455 379 42
455 378 51
456 377 49
457 377 53
459 376 67
462 375 56
464 374 37
466 373 33
468 372 30
469 372 31
471 372 36
473 371 35
474 370 34
476 369 34
477 369 35
478 369 37
479 368 37
480 368 40
481 368 38
481 367 35
482 366 30
482 365 25
483 365 26
484 365 28
484 364 27
485 364 28
485 363 27
486 363 28
487 362 27
488 361 23
489 360 25
489 359 34
489 358 39
491 356 45
493 354 49
494 353 56
495 351 61
497 350 57
498 348 55
500 347 70
502 344 52
503 343 48
506 340 42
508 337 37
510 336 41
512 333 66
514 331 89
517 329 75
519 327 71
521 325 67
523 324 87
525 321 108
526 320 108
528 319 92
528 318 92
528 317 95
529 315 114
530 313 119
530 311 124
532 309 126
533 307 127
534 306 127
535 305 128
536 305 127
537 304 125
537 303 121
538 302 119
538 301 105
539 300 92
540 299 85
541 298 98
542 296 115
543 293 133
544 292 131
545 291 131
548 288 131
549 287 129
550 285 130
550 283 130
551 282 129
552 281 129
553 280 128
554 279 128
555 276 128
557 275 125
559 273 123
561 271 117
563 270 118
565 267 121
567 266 119
569 264 118
570 264 116
572 261 118
574 260 117
576 258 119
578 256 120
581 255 107
582 253 102
583 253 99
584 251 87
585 251 94
586 250 89
586 249 72
587 249 96
587 248 100
587 247 98
588 245 95
588 243 79
589 242 87
589 241 74
589 239 61
590 238 63
590 236 52
590 235 50
590 233 62
590 232 74
591 231 46
591 230 45
591 228 40
591 227 39
591 226 41
591 224 48
591 223 55
591 222 58
591 220 61
592 218 34
592 217 38
592 216 40
593 214 25
593 213 25
593 212 28
593 211 32
593 209 47
593 207 69
593 205 110
593 202 125
593 201 126
593 199 120
593 198 124
592 197 119
592 195 118
592 194 123
592 193 124
591 191 114
591 188 52
591 187 60
591 186 65
590 184 57
589 182 47
589 181 46
588 180 41
587 177 37
587 176 38
586 175 37
585 173 37
585 172 35
585 171 34
584 169 35
583 167 31
582 166 31
581 164 30
579 162 32
578 160 34
577 158 38
576 157 38
575 156 43
573 155 51
572 151 63
571 151 82
570 148 124
568 148 121
568 147 128
567 146 123
565 144 138
564 142 138
563 141 136
563 140 134
562 140 134
562 139 134
560 137 137
558 135 137
557 134 130
556 132 126
555 131 129
554 130 129
553 129 122
552 127 118
550 125 106
550 124 109
548 122 119
547 120 122
545 118 117
545 117 114
544 114 104
542 112 101
542 110 103
540 109 82
540 107 75
538 106 51
537 103 42
535 101 41
534 98 39
