640 480
53 196 134
53 197 134
53 198 134
54 200 135
55 201 135
56 203 134
58 204 135
59 206 135
62 210 134
63 211 131
65 212 134
67 214 135
70 215 136
73 217 136
76 219 135
79 219 135
83 221 133
86 223 135
88 224 132
91 225 131
94 225 133
96 226 138
98 227 137
100 227 136
101 228 136
103 228 135
104 228 137
106 228 137
108 228 137
109 229 137
111 229 137
113 230 139
116 232 139
118 233 138
121 235 139
125 236 135
127 238 136
128 239 137
131 239 135
133 240 132
135 242 138
136 242 137
138 243 136
140 244 136
141 245 136
143 246 134
146 248 138
148 249 131
150 251 132
151 251 130
154 252 135
155 253 137
156 254 135
157 254 137
159 254 137
160 254 137
163 256 143
168 257 146
170 257 139
172 257 134
175 257 142
177 258 137
179 259 137
181 259 136
183 259 136
185 259 139
186 259 139
188 259 141
190 259 141
191 259 141
193 259 140
195 259 140
198 259 140
200 259 139
202 259 139
204 259 140
207 259 141
208 259 143
212 259 142
214 259 141
217 259 142
219 259 141
221 259 141
223 259 142
225 259 144
226 259 143
229 259 142
232 259 140
235 259 142
238 259 145
241 259 145
245 259 145
248 259 144
251 259 144
253 259 144
254 260 144
255 260 144
258 261 143
260 261 144
262 261 146
264 261 146
265 262 147
267 262 146
269 262 145
270 262 145
272 263 149
274 263 145
276 263 143
278 263 144
280 263 147
282 263 147
284 263 148
286 263 149
288 263 148
290 263 148
291 263 148
294 263 148
297 263 150
301 263 146
302 263 147
303 263 148
305 264 150
307 264 153
309 264 152
312 264 151
315 264 151
318 264 151
322 263 148
326 263 148
331 262 150
334 261 150
339 260 149
344 259 151
348 258 147
352 258 150
355 257 152
361 256 149
363 255 151
366 255 150
368 255 147
369 254 148
370 254 148
371 254 147
371 253 148
373 253 147
374 252 149
375 252 151
376 251 151
378 251 152
379 250 149
381 249 147
383 248 151
387 247 148
390 246 147
393 245 147
398 243 146
400 243 140
403 242 142
405 241 141
409 240 137
412 239 137
415 238 135
416 237 137
421 236 131
422 235 130
424 234 131
426 234 132
428 232 130
429 232 128
430 231 129
431 230 130
433 229 131
433 228 131
434 227 131
435 226 130
436 225 130
438 223 132
440 222 127
442 220 131
443 219 131
444 218 129
445 217 128
447 215 127
448 214 130
449 212 130
450 210 130
453 207 129
456 204 128
460 201 129
462 199 126
464 198 128
467 196 122
468 195 122
470 192 128
472 191 120
472 190 121
473 189 123
474 188 124
474 186 124
474 183 125
475 180 124
476 178 126
476 177 126
477 175 125
478 173 125
479 171 125
479 170 125
480 169 127
480 168 128
480 166 129
481 164 125
482 161 125
483 157 125
484 154 125
484 151 126
485 148 125
486 146 127
487 143 124
487 141 126
487 140 128
488 138 130
488 136 128
489 135 127
489 134 127
489 132 128
489 130 129
490 128 127
491 126 126
492 123 123
494 119 123
495 118 122
495 117 121
496 116 117
496 114 121
497 111 120
498 110 121
499 106 122
499 104 121
500 104 123
500 103 125
500 102 124
500 101 123
500 100 122
501 98 124
501 95 125
502 92 128
503 89 125
504 87 126
504 85 121
504 84 118
504 83 115
504 81 114
504 78 108
504 76 105
504 74 102
504 72 100
504 70 107
504 68 113
504 66 119
504 64 131
504 61 120
504 59 124
504 58 124
504 56 121
503 54 126
503 51 129
502 49 139
502 47 138
501 45 138
501 44 138
501 42 137
501 38 138
499 33 140
498 30 138
497 24 138
495 20 138
495 18 138
495 15 139
495 14 139
495 13 139
494 13 139
493 13 139
492 13 139
489 15 136
486 15 141
481 17 141
476 19 142
471 22 139
468 23 139
463 25 139
455 28 143
447 31 144
437 34 137
427 37 138
418 39 139
407 43 138
396 45 145
381 48 145
368 51 143
358 53 148
345 55 148
335 57 146
325 58 146
317 59 147
310 60 146
302 61 144
296 62 145
287 62 145
279 62 147
270 62 147
260 62 148
253 63 148
247 63 143
241 63 148
237 63 144
230 63 145
225 62 143
219 61 146
212 60 144
206 60 144
199 60 145
190 60 144
179 60 142
170 60 141
158 60 142
146 60 142
134 61 138
124 62 139
117 63 139
115 64 140
112 65 137
111 66 142
110 67 142
109 69 138
107 70 139
105 73 139
104 75 141
100 79 140
99 81 138
96 83 137
96 85 137
95 87 136
94 89 135
93 93 137
93 94 137
93 97 136
93 101 135
93 104 136
93 107 138
96 111 138
101 116 138
107 120 139
109 120 138
118 122 141
131 123 136
149 123 140
166 123 138
189 120 140
218 116 141
247 109 144
284 102 146
314 96 145
340 89 145
362 83 149
378 80 149
394 76 145
406 74 146
417 72 144
427 70 140
435 69 142
441 69 143
446 69 138
446 70 139
446 71 141
445 74 141
444 75 139
441 78 141
437 81 144
430 84 147
420 88 142
406 93 144
387 98 146
364 103 147
332 109 148
297 116 147
265 123 144
234 128 145
207 133 143
189 136 141
175 139 143
166 141 140
159 143 143
157 144 142
158 145 143
159 147 139
161 148 143
163 150 141
165 154 140
167 157 138
169 160 139
171 161 139
175 163 140
180 164 144
189 164 141
198 164 143
213 164 144
229 164 142
246 164 146
260 162 141
277 161 145
297 159 144
313 156 144
325 155 147
332 154 145
333 154 146
333 155 145
332 155 143
329 157 146
326 158 146
324 159 144
321 161 148
314 164 146
306 168 144
294 174 144
282 178 144
269 182 145
258 186 147
249 189 143
241 191 143
239 192 142
240 194 141
245 195 141
248 195 146
254 195 145
262 196 140
271 196 148
286 197 148
302 197 144
317 197 145
330 197 145
343 197 146
356 197 146
366 197 146
374 197 144
375 197 143
373 199 149
370 201 147
364 204 147
354 209 148
342 213 146
326 218 149
305 222 150
284 226 146
269 229 146
257 231 145
255 231 145
254 231 145
254 230 145
256 230 144
261 229 142
263 228 141
268 227 145
272 227 144
276 226 145
279 226 145
281 226 144
282 226 145
285 226 147
284 227 144
